group	tier	audience	bytes	path
B-cc-config-ops	T3	AGENT	1131	plugins/claude-config/skills/audit-instructions/evals/fixtures/protected-content.md
B-cc-config-ops	T3	AGENT	367	plugins/claude-config/skills/audit-instructions/evals/fixtures/quoted-trigger-restatement.md
B-cc-config-ops	T3	AGENT	298	plugins/claude-config/skills/audit-instructions/evals/fixtures/quoted-trigger.md
B-cc-config-ops	T3	AGENT	582	plugins/claude-config/skills/audit-instructions/evals/fixtures/sibling-restatement.md
B-cc-config-ops	T3	AGENT	47430	plugins/claude-config/skills/audit-instructions/reference/conflict-criteria.md
B-cc-config-ops	T3	AGENT	139494	plugins/claude-config/skills/audit-instructions/reference/criteria.md
B-cc-config-ops	T2	AGENT	36172	plugins/claude-config/skills/audit-pass/SKILL.md
B-cc-config-ops	T3	AGENT	20475	plugins/claude-config/skills/audit-pass/reference/determinism-tiers.md
B-cc-config-ops	T3	AGENT	6710	plugins/claude-config/skills/audit-pass/reference/doctor-handoff.md
B-cc-config-ops	T3	AGENT	5911	plugins/claude-config/skills/audit-pass/reference/exclusion-set.md
B-cc-config-ops	T3	AGENT	14475	plugins/claude-config/skills/audit-pass/reference/finding-identity.md
B-cc-config-ops	T3	AGENT	12986	plugins/claude-config/skills/audit-pass/reference/report-location-and-schema.md
B-cc-config-ops	T3	AGENT	1352	plugins/claude-config/skills/audit-pass/reference/run-contract.md
B-cc-config-ops	T3	AGENT	27286	plugins/claude-config/skills/audit-pass/reference/run-state-and-resumability.md
B-cc-config-ops	T3	AGENT	13367	plugins/claude-config/skills/audit-pass/reference/suppression.md
B-cc-config-ops	T3	AGENT	1184	plugins/claude-config/skills/audit-pass/reference/terms.md
B-cc-config-ops	T2	AGENT	9142	plugins/claude-config/skills/audit-permission-grants/SKILL.md
B-cc-config-ops	T3	AGENT	15481	plugins/claude-config/skills/audit-permission-grants/reference/criteria.md
B-cc-config-ops	T2	AGENT	18225	plugins/claude-config/skills/audit-permission-state/SKILL.md
B-cc-config-ops	T3	AGENT	26210	plugins/claude-config/skills/audit-permission-state/reference/criteria.md
B-cc-config-ops	T2	AGENT	14061	plugins/claude-config/skills/audit-prompting-postures/SKILL.md
B-cc-config-ops	T3	AGENT	6462	plugins/claude-config/skills/audit-prompting-postures/reference/postures.md
B-cc-config-ops	T2	AGENT	16131	plugins/claude-config/skills/audit/SKILL.md
B-cc-config-ops	T3	AGENT	5031	plugins/claude-config/skills/audit/context/procedures.md
B-cc-config-ops	T3	AGENT	16371	plugins/claude-config/skills/audit/context/validation-categories.md
B-cc-config-ops	T3	AGENT	28977	plugins/claude-config/skills/audit/reference/audit-checklist.md
B-cc-config-ops	T3	AGENT	2846	plugins/claude-config/skills/audit/reference/known-issues.md
B-cc-config-ops	T3	AGENT	17379	plugins/claude-config/skills/audit/reference/required-permissions.md
B-cc-config-ops	T3	AGENT	954	plugins/claude-config/skills/audit/templates/checklist.md
B-cc-config-ops	T2	AGENT	7288	plugins/claude-config/skills/draft-auto-mode-rules/SKILL.md
B-cc-config-ops	T2	AGENT	11208	plugins/claude-config/skills/setup/SKILL.md
B-cc-config-ops	T2	AGENT	14469	plugins/claude-config/skills/unhobble/SKILL.md
B-cc-config-ops	T3	HUMAN	49692	plugins/claude-memory/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	4687	plugins/claude-memory/README.md
B-cc-config-ops	T2	AGENT	9881	plugins/claude-memory/skills/audit/SKILL.md
B-cc-config-ops	T3	AGENT	8222	plugins/claude-memory/skills/audit/context/audit.md
B-cc-config-ops	T3	AGENT	4531	plugins/claude-memory/skills/audit/context/fix.md
B-cc-config-ops	T3	AGENT	3202	plugins/claude-memory/skills/audit/context/update.md
B-cc-config-ops	T3	AGENT	15030	plugins/claude-memory/skills/audit/evals/fixtures/init-bloated-claude-md.md
B-cc-config-ops	T3	AGENT	25496	plugins/claude-memory/skills/audit/reference/criteria.md
B-cc-config-ops	T3	AGENT	14637	plugins/claude-memory/skills/audit/reference/official-guidance.md
B-cc-config-ops	T2	AGENT	7148	plugins/claude-memory/skills/stateless/SKILL.md
B-cc-config-ops	T3	AGENT	1633	plugins/claude-memory/skills/stateless/context/desktop.md
B-cc-config-ops	T3	AGENT	5933	plugins/claude-memory/skills/stateless/context/disable.md
B-cc-config-ops	T3	AGENT	9720	plugins/claude-memory/skills/stateless/context/purge.md
B-cc-config-ops	T3	AGENT	3821	plugins/claude-memory/skills/stateless/context/status.md
B-cc-config-ops	T3	AGENT	11608	plugins/claude-memory/skills/stateless/reference/official-guidance.md
B-cc-config-ops	T3	HUMAN	164096	plugins/claude-ops/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	29714	plugins/claude-ops/README.md
B-cc-config-ops	T2	AGENT	14638	plugins/claude-ops/skills/audit-install-state/SKILL.md
B-cc-config-ops	T3	AGENT	5645	plugins/claude-ops/skills/audit-install-state/reference/evidence-discipline.md
B-cc-config-ops	T3	AGENT	3425	plugins/claude-ops/skills/audit-install-state/reference/name-schemes.md
B-cc-config-ops	T3	AGENT	7331	plugins/claude-ops/skills/audit-install-state/reference/scope-and-handoffs.md
B-cc-config-ops	T3	AGENT	7067	plugins/claude-ops/skills/audit-install-state/reference/surfaces.md
B-cc-config-ops	T2	AGENT	17895	plugins/claude-ops/skills/audit-native-overlap/SKILL.md
B-cc-config-ops	T2	AGENT	14502	plugins/claude-ops/skills/audit-performance/SKILL.md
B-cc-config-ops	T3	AGENT	13644	plugins/claude-ops/skills/audit-performance/reference/known-performance-issues.md
B-cc-config-ops	T2	AGENT	11682	plugins/claude-ops/skills/audit-skill-visibility/SKILL.md
B-cc-config-ops	T3	AGENT	3191	plugins/claude-ops/skills/audit-skill-visibility/reference/pair-cooccurrence.md
B-cc-config-ops	T2	AGENT	9483	plugins/claude-ops/skills/changelog/SKILL.md
B-cc-config-ops	T3	AGENT	3454	plugins/claude-ops/skills/changelog/context/classification-rubric.md
B-cc-config-ops	T3	AGENT	2326	plugins/claude-ops/skills/changelog/context/read-actions.md
B-cc-config-ops	T3	AGENT	2012	plugins/claude-ops/skills/changelog/context/repo-surfaces.md
B-cc-config-ops	T2	AGENT	13412	plugins/claude-ops/skills/inventory/SKILL.md
B-cc-config-ops	T3	AGENT	6857	plugins/claude-ops/skills/inventory/reference/extraction.md
B-cc-config-ops	T2	AGENT	7099	plugins/claude-ops/skills/known-issues/SKILL.md
B-cc-config-ops	T3	AGENT	1600	plugins/claude-ops/skills/known-issues/context/action-check-all.md
B-cc-config-ops	T3	AGENT	5241	plugins/claude-ops/skills/known-issues/context/action-create.md
B-cc-config-ops	T3	AGENT	675	plugins/claude-ops/skills/known-issues/context/action-list.md
B-cc-config-ops	T3	AGENT	3005	plugins/claude-ops/skills/known-issues/context/action-quality.md
B-cc-config-ops	T3	AGENT	1883	plugins/claude-ops/skills/known-issues/context/action-scan.md
B-cc-config-ops	T3	AGENT	2131	plugins/claude-ops/skills/known-issues/context/action-search.md
B-cc-config-ops	T3	AGENT	1774	plugins/claude-ops/skills/known-issues/context/action-status.md
B-cc-config-ops	T3	AGENT	5655	plugins/claude-ops/skills/known-issues/context/issue-templates.md
B-cc-config-ops	T3	AGENT	825	plugins/claude-ops/skills/known-issues/context/output-templates.md
B-cc-config-ops	T3	AGENT	544	plugins/claude-ops/skills/known-issues/context/registry-schema.md
B-cc-config-ops	T2	AGENT	20355	plugins/claude-ops/skills/lanes/SKILL.md
B-cc-config-ops	T3	AGENT	5532	plugins/claude-ops/skills/lanes/context/config.md
B-cc-config-ops	T3	AGENT	9214	plugins/claude-ops/skills/lanes/context/refresh.md
B-cc-config-ops	T3	AGENT	14244	plugins/claude-ops/skills/lanes/context/restart-consumer.md
B-cc-config-ops	T2	AGENT	5016	plugins/claude-ops/skills/morning-brief/SKILL.md
B-cc-config-ops	T2	AGENT	7207	plugins/claude-ops/skills/observability/SKILL.md
B-cc-config-ops	T3	AGENT	10430	plugins/claude-ops/skills/observability/context/data-sources.md
B-cc-config-ops	T3	AGENT	2623	plugins/claude-ops/skills/observability/context/operator-setup-collector-daemon.md
B-cc-config-ops	T3	AGENT	3883	plugins/claude-ops/skills/observability/context/operator-setup-emission-privacy.md
B-cc-config-ops	T3	AGENT	7774	plugins/claude-ops/skills/observability/context/operator-setup-retention.md
B-cc-config-ops	T3	AGENT	2355	plugins/claude-ops/skills/observability/context/operator-setup.md
B-cc-config-ops	T3	AGENT	2807	plugins/claude-ops/skills/observability/context/otel-pipeline.md
B-cc-config-ops	T3	AGENT	5708	plugins/claude-ops/skills/observability/context/otel-queries.md
B-cc-config-ops	T3	AGENT	5304	plugins/claude-ops/skills/observability/context/output-format.md
B-cc-config-ops	T3	AGENT	3841	plugins/claude-ops/skills/observability/context/privacy.md
B-cc-config-ops	T3	AGENT	4876	plugins/claude-ops/skills/observability/context/read-routing.md
B-cc-config-ops	T2	AGENT	18856	plugins/claude-ops/skills/plugins/SKILL.md
B-cc-config-ops	T3	AGENT	9771	plugins/claude-ops/skills/plugins/context/converge.md
B-cc-config-ops	T3	AGENT	15167	plugins/claude-ops/skills/plugins/context/gotchas.md
B-cc-config-ops	T3	AGENT	15534	plugins/claude-ops/skills/plugins/context/scope-semantics.md
B-cc-config-ops	T3	AGENT	32168	plugins/claude-ops/skills/plugins/context/sync.md
B-cc-config-ops	T2	AGENT	7353	plugins/claude-ops/skills/setup/SKILL.md
B-cc-config-ops	T3	HUMAN	14219	plugins/context-budget/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	8907	plugins/context-budget/README.md
B-cc-config-ops	T2	AGENT	14447	plugins/context-budget/skills/audit/SKILL.md
B-cc-config-ops	T3	AGENT	8228	plugins/context-budget/skills/audit/reference/engine.md
B-cc-config-ops	T3	AGENT	4897	plugins/context-budget/skills/audit/reference/report.md
B-cc-config-ops	T3	AGENT	1090	plugins/context-budget/skills/audit/scripts/fixtures/context-sample.md
B-cc-config-ops	T2	AGENT	7295	plugins/context-budget/skills/setup/SKILL.md
B-cc-config-ops	T3	HUMAN	84228	plugins/context-guard/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	14122	plugins/context-guard/README.md
B-cc-config-ops	T3	AGENT	22267	plugins/context-guard/reference/cloud-headless-capture.md
B-cc-config-ops	T3	AGENT	38194	plugins/context-guard/reference/reader-contract.md
B-cc-config-ops	T2	AGENT	33142	plugins/context-guard/skills/setup/SKILL.md
B-cc-config-ops	T3	HUMAN	253021	plugins/guardrails/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	40922	plugins/guardrails/README.md
B-cc-config-ops	T2	AGENT	13541	plugins/guardrails/skills/setup/SKILL.md
B-cc-config-ops	T3	HUMAN	56146	plugins/rate-limit-guard/CHANGELOG.md
B-cc-config-ops	T3	HUMAN	13620	plugins/rate-limit-guard/README.md
B-cc-config-ops	T3	HUMAN	5139	plugins/rate-limit-guard/bench/README.md
B-cc-config-ops	T3	AGENT	14658	plugins/rate-limit-guard/reference/reader-contract.md
B-cc-config-ops	T2	AGENT	19583	plugins/rate-limit-guard/skills/setup/SKILL.md
C-vcs-repo	T3	HUMAN	122844	plugins/disk-hygiene/CHANGELOG.md
C-vcs-repo	T3	HUMAN	29888	plugins/disk-hygiene/README.md
C-vcs-repo	T2	AGENT	35157	plugins/disk-hygiene/skills/clean/SKILL.md
C-vcs-repo	T3	AGENT	38527	plugins/disk-hygiene/skills/clean/reference/safety-model.md
C-vcs-repo	T2	AGENT	14556	plugins/disk-hygiene/skills/setup/SKILL.md
C-vcs-repo	T3	HUMAN	8030	plugins/github/CHANGELOG.md
C-vcs-repo	T3	HUMAN	8675	plugins/github/README.md
C-vcs-repo	T3	AGENT	5456	plugins/github/reference/areas.md
C-vcs-repo	T3	AGENT	4924	plugins/github/reference/browser-automation.md
C-vcs-repo	T3	AGENT	8046	plugins/github/reference/change-routing.md
C-vcs-repo	T3	AGENT	2637	plugins/github/reference/conventions-file.md
C-vcs-repo	T3	AGENT	5644	plugins/github/reference/method-ladder.md
C-vcs-repo	T3	AGENT	10767	plugins/github/reference/recipes/actions-policy.md
C-vcs-repo	T3	AGENT	12451	plugins/github/reference/recipes/billing.md
C-vcs-repo	T3	AGENT	11778	plugins/github/reference/recipes/rulesets-repo-drift.md
C-vcs-repo	T3	AGENT	13767	plugins/github/reference/recipes/security-posture.md
C-vcs-repo	T2	AGENT	6774	plugins/github/skills/advise/SKILL.md
C-vcs-repo	T2	AGENT	6966	plugins/github/skills/audit/SKILL.md
C-vcs-repo	T2	AGENT	5569	plugins/github/skills/setup/SKILL.md
C-vcs-repo	T3	HUMAN	51071	plugins/repo-fleet-hygiene/CHANGELOG.md
C-vcs-repo	T3	HUMAN	11867	plugins/repo-fleet-hygiene/README.md
C-vcs-repo	T2	AGENT	3818	plugins/repo-fleet-hygiene/skills/apply/SKILL.md
C-vcs-repo	T2	AGENT	24552	plugins/repo-fleet-hygiene/skills/audit/SKILL.md
C-vcs-repo	T3	AGENT	13772	plugins/repo-fleet-hygiene/skills/audit/reference/confidence-model.md
C-vcs-repo	T3	AGENT	5408	plugins/repo-fleet-hygiene/skills/audit/reference/official-sources.md
C-vcs-repo	T3	AGENT	8460	plugins/repo-fleet-hygiene/skills/audit/reference/security-review.md
C-vcs-repo	T2	AGENT	13999	plugins/repo-fleet-hygiene/skills/setup/SKILL.md
C-vcs-repo	T3	HUMAN	35237	plugins/repo-hygiene/CHANGELOG.md
C-vcs-repo	T3	HUMAN	9264	plugins/repo-hygiene/README.md
C-vcs-repo	T2	AGENT	19704	plugins/repo-hygiene/skills/clean/SKILL.md
C-vcs-repo	T3	AGENT	7449	plugins/repo-hygiene/skills/clean/context/action-router.md
C-vcs-repo	T3	AGENT	8354	plugins/repo-hygiene/skills/clean/context/clean-batch.md
C-vcs-repo	T3	AGENT	6324	plugins/repo-hygiene/skills/clean/context/git-branch-cleanup.md
C-vcs-repo	T3	AGENT	6011	plugins/repo-hygiene/skills/clean/context/git-tree-reset-batch.md
C-vcs-repo	T3	AGENT	4374	plugins/repo-hygiene/skills/clean/context/git-tree-reset.md
C-vcs-repo	T3	AGENT	2372	plugins/repo-hygiene/skills/clean/context/preflight.md
C-vcs-repo	T3	AGENT	5628	plugins/repo-hygiene/skills/clean/reference/cleanup-config.md
C-vcs-repo	T3	AGENT	813	plugins/repo-hygiene/skills/clean/reference/ecosystems.md
C-vcs-repo	T3	AGENT	3484	plugins/repo-hygiene/skills/clean/reference/invocation-forms.md
C-vcs-repo	T2	AGENT	7409	plugins/repo-hygiene/skills/setup/SKILL.md
C-vcs-repo	T3	HUMAN	337587	plugins/source-control/CHANGELOG.md
C-vcs-repo	T3	HUMAN	35211	plugins/source-control/README.md
C-vcs-repo	T3	AGENT	26555	plugins/source-control/reference/config-resolution.md
C-vcs-repo	T3	AGENT	23864	plugins/source-control/reference/review-discipline.md
C-vcs-repo	T3	AGENT	8866	plugins/source-control/reference/worktree-root-convention.md
C-vcs-repo	T2	AGENT	42023	plugins/source-control/skills/babysit-loop/SKILL.md
C-vcs-repo	T3	AGENT	2476	plugins/source-control/skills/babysit-loop/reference/no-progress-detector.md
C-vcs-repo	T3	AGENT	7243	plugins/source-control/skills/babysit-loop/reference/pre-escalation-dispatch.md
C-vcs-repo	T3	AGENT	4704	plugins/source-control/skills/babysit-loop/reference/promotion-evidence-resolution.md
C-vcs-repo	T3	AGENT	10980	plugins/source-control/skills/babysit-loop/reference/telemetry-upsert.md
C-vcs-repo	T2	AGENT	38111	plugins/source-control/skills/babysit-prs/SKILL.md
C-vcs-repo	T3	AGENT	3541	plugins/source-control/skills/babysit-prs/reference/autopilot.md
C-vcs-repo	T3	AGENT	10935	plugins/source-control/skills/babysit-prs/reference/cadence.md
C-vcs-repo	T3	AGENT	8573	plugins/source-control/skills/babysit-prs/reference/feedback.md
C-vcs-repo	T3	AGENT	7717	plugins/source-control/skills/babysit-prs/reference/freshness.md
C-vcs-repo	T3	AGENT	37710	plugins/source-control/skills/babysit-prs/reference/guard-contract.md
C-vcs-repo	T3	AGENT	12599	plugins/source-control/skills/babysit-prs/reference/independent-resolution.md
C-vcs-repo	T3	AGENT	38527	plugins/source-control/skills/babysit-prs/reference/loop.md
C-vcs-repo	T3	AGENT	75729	plugins/source-control/skills/babysit-prs/reference/orchestration.md
C-vcs-repo	T3	AGENT	5594	plugins/source-control/skills/babysit-prs/reference/review-trigger.md
C-vcs-repo	T3	AGENT	5550	plugins/source-control/skills/babysit-prs/reference/runbook-cycle.md
C-vcs-repo	T3	AGENT	71605	plugins/source-control/skills/babysit-prs/reference/safety.md
C-vcs-repo	T3	AGENT	7271	plugins/source-control/skills/babysit-prs/reference/stuck-checks.md
C-vcs-repo	T3	AGENT	4175	plugins/source-control/skills/babysit-prs/reference/worktrees.md
C-vcs-repo	T3	AGENT	276	plugins/source-control/skills/commit/.claude/source-control.local.md
C-vcs-repo	T3	AGENT	557	plugins/source-control/skills/commit/.claude/source-control.md
C-vcs-repo	T2	AGENT	24175	plugins/source-control/skills/commit/SKILL.md
C-vcs-repo	T3	AGENT	9683	plugins/source-control/skills/commit/reference/exec-bit.md
C-vcs-repo	T3	AGENT	6535	plugins/source-control/skills/commit/reference/format-check.md
C-vcs-repo	T3	AGENT	9838	plugins/source-control/skills/commit/reference/pathspec-commits.md
C-vcs-repo	T3	AGENT	3712	plugins/source-control/skills/commit/reference/staging-preconditions.md
C-vcs-repo	T3	AGENT	562	plugins/source-control/skills/pull-request/.claude/source-control.md
C-vcs-repo	T2	AGENT	33247	plugins/source-control/skills/pull-request/SKILL.md
C-vcs-repo	T3	AGENT	715	plugins/source-control/skills/pull-request/evals/fixtures/ci-status-security-fail.md
C-vcs-repo	T3	AGENT	459	plugins/source-control/skills/pull-request/evals/fixtures/source-control-required-none.md
C-vcs-repo	T3	AGENT	455	plugins/source-control/skills/pull-request/evals/fixtures/source-control-required-related.md
C-vcs-repo	T3	AGENT	48114	plugins/source-control/skills/pull-request/reference/create.md
C-vcs-repo	T3	AGENT	8626	plugins/source-control/skills/pull-request/reference/merge.md
C-vcs-repo	T3	AGENT	38956	plugins/source-control/skills/pull-request/reference/monitor.md
C-vcs-repo	T3	AGENT	4158	plugins/source-control/skills/pull-request/reference/prep.md
C-vcs-repo	T3	AGENT	14748	plugins/source-control/skills/pull-request/reference/readiness.md
C-vcs-repo	T3	AGENT	1350	plugins/source-control/skills/pull-request/templates/checklist.md
C-vcs-repo	T2	AGENT	10917	plugins/source-control/skills/resolve-conflicts/SKILL.md
C-vcs-repo	T3	AGENT	207	plugins/source-control/skills/setup/.claude/source-control.local.md
C-vcs-repo	T3	AGENT	619	plugins/source-control/skills/setup/.claude/source-control.md
